,age,gender,department,academic_year,current_residence,study_preference,gpa,sleep_hours,sport_hours,cigarettes_per_day,coffee_cups,department_satisfaction,development_obstacles,job_search_duration,higher_education,work_style,country_preference,sector_preference,field_preference,city_preference,salary_expectation
89,22,Male,Chemical Engineering,2,On-campus,In the library,2.51-3.00,Between 6-7 hours,4.0,0.0,0.0,8,Yok,3-6 Months,I am considering further education but haven’t decided yet.,Hybrid,Not sure yet,Private Sector,Department's field sector,Kocaeli,55.0
90,23,Male,Computer Engineering,4,On-campus,Study room or Cafe in campus,3.01-3.50,Between 7-8 hours,10.0,0.0,2.0,8,Ekonomi ,0-3 Months,"Yes, I plan to pursue a Master's degree.",Hybrid,Abroad,Private Sector,Department's field sector,Ankara,75.0
91,21,Male,Mechanical Engineering,3,KYK,In the library,2.51-3.00,Between 5-6 hours,4.0,0.0,4.0,8,None,0-3 Months,I am considering further education but haven’t decided yet.,Face-to-face,Open to both,Private Sector,Department's field sector,Istanbul,65.0
92,21,Female,Computer Engineering,1,KYK,Study room or Cafe in campus,I don't have a GPA yet,Between 6-7 hours,0.0,0.0,2.0,7,None,0-3 Months,"Yes, I plan to pursue a Master's degree.",Hybrid,Not sure yet,Academy,Different sector,None,150.0
94,21,Male,Civil Engineering,Prepatory,With family,In the library,I don't have a GPA yet,Between 6-7 hours,5.0,0.0,0.0,8,None,6-12 Months,I am considering further education but haven’t decided yet.,Face-to-face,Not sure yet,Private Sector,Department's field sector,Ankara,25.0
95,20,Prefer not to say,Civil Engineering,1,Student House,At home,I don't have a GPA yet,Between 6-7 hours,2.0,0.0,1.0,7,None,3-6 Months,"No, I do not plan to pursue further education.",Remote,Open to both,Private Sector,Department's field sector,Ankara,45.0
96,22,Male,Industrial Engineering,4,With family,At home,2.51-3.00,Between 8-9 hours,3.0,0.0,0.0,8,None,3-6 Months,I am considering further education but haven’t decided yet.,Face-to-face,Not sure yet,Private Sector,Department's field sector,Ankara,50.0
98,22,Male,Industrial Engineering,4,On-campus,In the dorm ,2.01-2.50,Between 7-8 hours,6.0,0.0,0.0,6,Myself,0-3 Months,I am considering further education but haven’t decided yet.,Face-to-face,Open to both,Private Sector,Different sector,Istanbul,45.0
99,21,Male,Industrial Engineering,3,On-campus,Other,2.01-2.50,Between 6-7 hours,3.0,0.0,5.0,10,Myself ,0-3 Months,"No, I do not plan to pursue further education.",Hybrid,Abroad,Private Sector,Department's field sector,Dublin,50.0
100,21,Male,Industrial Engineering,3,With family,Study room or Cafe in campus,3.01-3.50,Between 5-6 hours,3.0,0.0,1.0,9,Yoğunluk,0-3 Months,I am considering further education but haven’t decided yet.,Hybrid,Türkiye,Private Sector,Department's field sector,Istanbul,60.0
102,21,Prefer not to say,Chemical Engineering,3,Student House,In the dorm ,2.01-2.50,Between 7-8 hours,3.0,2.0,0.5,2,None,0-3 Months,"Yes, I plan to pursue a Master's degree.",Hybrid,Open to both,Academy,Not sure yet,Antalya-Izmir,45.0
103,20,Female,Metallurgical and Materials Engineering,1,On-campus,In the library,I don't have a GPA yet,Less than 5 hours,4.0,20.0,6.0,1,myself,0-3 Months,I am considering further education but haven’t decided yet.,Hybrid,Open to both,Public Sector,Not sure yet,Singapore,100.0
105,21,Male,Industrial Engineering,2,Student House,In the library,0-2.00,Between 7-8 hours,1.0,20.0,2.0,6,money,0-3 Months,"No, I do not plan to pursue further education.",Face-to-face,Türkiye,Public Sector,Different sector,Istanbul,50.0
106,21,Male,Mechanical Engineering,2,With family,In the library,3.01-3.50,Between 6-7 hours,0.0,2.0,1.0,5,social media,3-6 Months,I am considering further education but haven’t decided yet.,Face-to-face,Open to both,Private Sector,Department's field sector,Ankara,60.0
107,21,Male,Mechanical Engineering,2,On-campus,In the library,2.01-2.50,Less than 5 hours,0.0,20.0,5.0,8,My department,0-3 Months,I am considering further education but haven’t decided yet.,Hybrid,Open to both,Private Sector,Department's field sector,Berlin Or Ankara,70.0
109,21,Male,Industrial Engineering,2,On-campus,In the dorm ,3.01-3.50,Less than 5 hours,2.0,15.0,2.0,7,Lessons,0-3 Months,I am considering further education but haven’t decided yet.,Face-to-face,Türkiye,Private Sector,Department's field sector,Istanbul,50.0
110,21,Female,Civil Engineering,2,On-campus,In the library,2.51-3.00,Between 7-8 hours,2.0,0.0,0.0,7,Derslerin yoğunluğu ,3-6 Months,I am considering further education but haven’t decided yet.,Remote,Abroad,Private Sector,Not sure yet,Edinburgh,50.0
111,22,Male,Electrical and Electronics Engineering,4,On-campus,In the dorm ,2.51-3.00,Between 8-9 hours,3.0,0.0,2.0,7,None,0-3 Months,I am considering further education but haven’t decided yet.,Hybrid,Türkiye,Private Sector,Department's field sector,Ankara,70.0
112,17,Male,Metallurgical and Materials Engineering,Prepatory,On-campus,In the dorm ,I don't have a GPA yet,Between 6-7 hours,5.0,0.0,0.0,8,Social life.,0-3 Months,"No, I do not plan to pursue further education.",Hybrid,Open to both,Private Sector,Department's field sector,Izmir,65.0
113,24,Male,Civil Engineering,4,With family,Study room or Cafe in campus,2.01-2.50,Between 7-8 hours,13.0,0.0,0.0,8,Pandemi,6-12 Months,I am considering further education but haven’t decided yet.,Hybrid,Not sure yet,Not sure yet,Department's field sector,Ankara,50.0
114,17,Female,Industrial Engineering,Prepatory,On-campus,In the dorm ,I don't have a GPA yet,Between 8-9 hours,1.0,1.0,2.0,6,financial inability to attend special programs ,1-2 Years,I am considering further education but haven’t decided yet.,Hybrid,Abroad,Private Sector,Not sure yet,Any European City,40.0
115,23,Male,Metallurgical and Materials Engineering,4,On-campus,In the library,3.51-4.00,Between 5-6 hours,0.0,0.0,3.0,7,Lecturers,3-6 Months,"Yes, I plan to pursue a Master's degree.",Face-to-face,Open to both,Academy,Department's field sector,Zurich Or Ankara,80.0
116,24,Male,Metallurgical and Materials Engineering,4,With family,In the library,2.51-3.00,Between 7-8 hours,0.0,10.0,1.0,5,Lecturer,6-12 Months,I am considering further education but haven’t decided yet.,Hybrid,Open to both,Not sure yet,Not sure yet,Ankara Or Izmir Or Abroad,50.0
117,19,Female,Electrical and Electronics Engineering,Prepatory,On-campus,In the dorm ,I don't have a GPA yet,Between 8-9 hours,7.0,0.0,0.0,5,Nothing as of now but probably sleep deprivation will be. ,3-6 Months,"Yes, I plan to pursue a Master's degree.",Hybrid,Abroad,Academy,Department's field sector,Ankara,60.0
118,20,Female,Chemical Engineering,2,On-campus,In the library,3.51-4.00,Between 6-7 hours,2.0,0.0,2.0,1,The fle students with 4.0 gpa's that Block my application to every double major,0-3 Months,"Yes, I plan to pursue a Master's degree.",Face-to-face,Abroad,Private Sector,Different sector,Tokyo,40.0
119,22,Male,Civil Engineering,2,On-campus,In the library,0-2.00,Between 7-8 hours,4.0,8.0,2.0,7,None,0-3 Months,"Yes, I plan to pursue a Master's degree.",Hybrid,Open to both,Private Sector,Department's field sector,None,75.0
120,21,Male,Civil Engineering,2,With family,In the library,2.01-2.50,Between 6-7 hours,2.0,0.0,2.0,7,Gereksiz takvim yoğunluğu ,6-12 Months,"Yes, I plan to pursue a Master's degree.",Face-to-face,Abroad,Private Sector,Department's field sector,Dubai,300.0
121,21,Male,Electrical and Electronics Engineering,3,Student House,Study room or Cafe in campus,2.01-2.50,Between 6-7 hours,1.0,17.0,0.0,2,impossibly hard,0-3 Months,I am considering further education but haven’t decided yet.,Hybrid,Open to both,Private Sector,Not sure yet,Dunno,80.0
122,22,Female,Civil Engineering,3,Student House,At home,2.01-2.50,More than 9 hours,2.0,0.0,0.0,7,Exams,3-6 Months,"No, I do not plan to pursue further education.",Face-to-face,Open to both,Private Sector,Department's field sector,Ankara,35.0
123,20,Female,Mechanical Engineering,1,On-campus,In the library,I don't have a GPA yet,Between 6-7 hours,1.5,0.0,1.0,9,None,3-6 Months,"Yes, I plan to pursue a Master's degree.",Face-to-face,Open to both,Public Sector,Department's field sector,None,69.35
124,21,Male,Civil Engineering,1,With family,In the library,I don't have a GPA yet,Between 5-6 hours,2.0,30.0,6.0,7,None,3-6 Months,I am considering further education but haven’t decided yet.,Face-to-face,Abroad,Private Sector,Department's field sector,Gana,30.0
125,22,Male,Civil Engineering,3,On-campus,Study room or Cafe in campus,2.51-3.00,Between 6-7 hours,4.0,0.0,1.0,7,None,0-3 Months,"Yes, I plan to pursue a Master's degree.",Face-to-face,Open to both,Private Sector,Not sure yet,New York,70.0
126,21,Female,Food Engineering,3,On-campus,In the library,2.01-2.50,Between 5-6 hours,3.0,0.0,4.0,6,None,6-12 Months,"No, I do not plan to pursue further education.",Hybrid,Open to both,Private Sector,Different sector,London,60.0
127,21,Male,Civil Engineering,2,With family,In the library,2.01-2.50,Between 6-7 hours,1.0,0.0,4.0,8,Density of the calendar due to 2 midterm and 1 final application for almost every lecture,6-12 Months,I am considering further education but haven’t decided yet.,Hybrid,Abroad,Private Sector,Department's field sector,Dubai-Kiev,60.0
128,21,Male,Electrical and Electronics Engineering,3,On-campus,In the library,0-2.00,Between 6-7 hours,2.0,0.0,0.0,4,Difficulty of the department,6-12 Months,"No, I do not plan to pursue further education.",Face-to-face,Open to both,Private Sector,Department's field sector,Eskisehir,30.0
129,23,Female,Industrial Engineering,4,Student House,Study room or Cafe in campus,2.51-3.00,Between 6-7 hours,1.0,0.0,2.0,8,My stress and anxiety,3-6 Months,I am considering further education but haven’t decided yet.,Hybrid,Türkiye,Private Sector,Department's field sector,Ankara,50.0
130,24,Male,Food Engineering,3,With family,In the library,2.01-2.50,Between 6-7 hours,1.0,0.0,1.0,7,None,0-3 Months,"No, I do not plan to pursue further education.",Face-to-face,Open to both,Private Sector,Department's field sector,None,50.0
132,20,Female,Mechanical Engineering,Prepatory,With family,At home,I don't have a GPA yet,Between 7-8 hours,0.0,0.0,1.0,5,English ,3-6 Months,"Yes, I plan to pursue a Master's degree.",Face-to-face,Open to both,Private Sector,Different sector,Istanbul,40.0
133,22,Male,Food Engineering,1,On-campus,In the dorm ,0-2.00,Less than 5 hours,0.0,0.0,3.0,8,Lectures,3-6 Months,I am considering further education but haven’t decided yet.,Face-to-face,Abroad,Private Sector,Department's field sector,London,50.0
134,22,Female,Civil Engineering,2,On-campus,Study room or Cafe in campus,2.01-2.50,Between 7-8 hours,0.0,0.0,2.0,6,cant manage my time,3-6 Months,I am considering further education but haven’t decided yet.,Hybrid,Open to both,Private Sector,Not sure yet,Ankara,50.0
135,22,Female,Industrial Engineering,2,Student House,Study room or Cafe in campus,2.01-2.50,Less than 5 hours,0.0,20.0,8.0,6,budget,0-3 Months,"Yes, I plan to pursue a Master's degree.",Hybrid,Open to both,Private Sector,Not sure yet,Istanbul,150.0
136,20,Prefer not to say,Chemical Engineering,3,Student House,Study room or Cafe in campus,2.01-2.50,Between 6-7 hours,0.0,0.0,5.0,8,None,6-12 Months,I am considering further education but haven’t decided yet.,Hybrid,Open to both,Private Sector,Department's field sector,None,40.0
137,23,Female,Chemical Engineering,4,On-campus,Study room or Cafe in campus,2.01-2.50,Between 6-7 hours,0.0,1.0,0.0,1,"My department, sooo many work load",3-6 Months,"No, I do not plan to pursue further education.",Hybrid,Türkiye,Private Sector,Different sector,Ankara,70.0
138,23,Female,Chemical Engineering,4,With family,In the library,2.01-2.50,Between 5-6 hours,0.0,0.0,2.0,5,Too much workload,0-3 Months,I am considering further education but haven’t decided yet.,Face-to-face,Open to both,Private Sector,Department's field sector,Ankara,80.0
139,19,Male,Industrial Engineering,Prepatory,With family,In the library,I don't have a GPA yet,Between 8-9 hours,30.0,0.0,0.0,8,"I don't really have any obstacles, yet current economic state of Turkey could be one.",0-3 Months,"Yes, I plan to pursue a Master's degree.",Hybrid,Abroad,Private Sector,Department's field sector,"Bern, Switzerland",120.0
140,23,Male,Petroleum and Natural Gas Engineering,3,Student House,At home,2.01-2.50,Between 5-6 hours,3.0,15.0,1.0,8,My time management skills ,0-3 Months,"No, I do not plan to pursue further education.",Face-to-face,Open to both,Private Sector,Department's field sector,Sirnak,70.0
141,23,Male,Petroleum and Natural Gas Engineering,3,Student House,At home,2.01-2.50,Between 6-7 hours,4.0,6.0,1.0,8,"Don’t have enough time to improve myself. (Homeworks,assignments,quizes etc.)",0-3 Months,"No, I do not plan to pursue further education.",Face-to-face,Türkiye,Private Sector,Department's field sector,Ankara,50.0
142,24,Male,Mechanical Engineering,2,With family,In the library,2.01-2.50,Between 5-6 hours,5.0,4.0,3.0,4,My department is very hard. So the department is the obatacle…,0-3 Months,"No, I do not plan to pursue further education.",Hybrid,Open to both,Private Sector,Not sure yet,Antalya,45.0
143,25,Male,Petroleum and Natural Gas Engineering,2,On-campus,In the library,2.51-3.00,Between 6-7 hours,1.0,0.0,0.0,8,Multiple tasking,0-3 Months,"No, I do not plan to pursue further education.",Face-to-face,Abroad,Private Sector,Not sure yet,Stockholm,150.0
144,22,Female,Food Engineering,2,On-campus,In the library,2.01-2.50,Between 7-8 hours,10.0,0.0,2.0,6,None,3-6 Months,"No, I do not plan to pursue further education.",Face-to-face,Open to both,Private Sector,Not sure yet,None,50.0
146,22,Female,Industrial Engineering,4,On-campus,In the dorm ,3.51-4.00,Between 7-8 hours,1.0,0.0,2.0,7,"Intensity and abundance of exams, homeworks",0-3 Months,I am considering further education but haven’t decided yet.,Hybrid,Türkiye,Private Sector,Department's field sector,Ankara,80.0
147,22,Female,Chemical Engineering,2,With family,Study room or Cafe in campus,2.01-2.50,Between 6-7 hours,0.0,20.0,0.0,7,focusing,0-3 Months,I am considering further education but haven’t decided yet.,Face-to-face,Abroad,Private Sector,Department's field sector,Ankara,80.0
148,23,Female,Chemical Engineering,4,Student House,In the library,2.01-2.50,Between 6-7 hours,1.0,0.0,3.0,3,professors ,3-6 Months,I am considering further education but haven’t decided yet.,Hybrid,Not sure yet,Private Sector,Different sector,Ankara,60.0
149,22,Male,Food Engineering,2,With family,In the library,0-2.00,Less than 5 hours,12.0,0.0,0.0,3,Dont know,0-3 Months,"Yes, I plan to pursue a Master's degree.",Remote,Abroad,Private Sector,Different sector,Texas,50.0
151,22,Female,Food Engineering,3,With family,At home,2.01-2.50,Less than 5 hours,1.0,6.0,1.0,8,not enough places to study ,3-6 Months,I am considering further education but haven’t decided yet.,Face-to-face,Open to both,Private Sector,Department's field sector,Ankara,50.0
152,22,Female,Food Engineering,3,On-campus,In the dorm ,2.01-2.50,Between 6-7 hours,2.0,0.0,1.0,8,There are not enough study place in campus. It is so Hard to find a place to study in final and mt weeks.,3-6 Months,"No, I do not plan to pursue further education.",Face-to-face,Türkiye,Private Sector,Department's field sector,Ankara,50.0
153,24,Male,Mining Engineering,4,Student House,At home,2.01-2.50,Between 6-7 hours,4.0,40.0,6.0,1,Exams,0-3 Months,"Yes, I plan to pursue a Master's degree.",Remote,Abroad,Private Sector,Different sector,Izmir,70.0
155,24,Male,Mining Engineering,3,Student House,In the library,2.01-2.50,Between 5-6 hours,8.0,34.0,8.0,1,Midterms,0-3 Months,"Yes, I plan to pursue a Master's degree.",Remote,Abroad,Not sure yet,Different sector,Barcelona,73.0
161,25,Prefer not to say,Mining Engineering,4,Student House,At home,2.01-2.50,Between 6-7 hours,12.0,0.0,0.0,3,Unnecessary hard and old-school exams. When i graduate i won't be anywhere near a qualified engineer for the 21th century world. ,0-3 Months,"No, I do not plan to pursue further education.",Hybrid,Open to both,Private Sector,Not sure yet,New York City,75.0
162,27,Male,Mining Engineering,2,With family,Other,2.01-2.50,Less than 5 hours,2.0,20.0,5.0,5,None,0-3 Months,"Yes, I plan to pursue a Master's degree.",Remote,Abroad,Public Sector,Department's field sector,Antalya,60.0
163,23,Female,Mining Engineering,3,On-campus,In the library,2.51-3.00,Less than 5 hours,2.0,0.0,5.0,3,odtü,0-3 Months,I am considering further education but haven’t decided yet.,Face-to-face,Open to both,Private Sector,Different sector,Ankara,30.0
164,23,Female,Mining Engineering,3,KYK,In the library,2.01-2.50,Between 5-6 hours,7.0,8.0,1.0,5,we dont have extra time to improve myself,0-3 Months,I am considering further education but haven’t decided yet.,Hybrid,Open to both,Not sure yet,Not sure yet,Ankara,60.0
165,21,Male,Mining Engineering,2,Student House,In the library,2.01-2.50,Less than 5 hours,3.0,3.0,2.0,7,Adhd,0-3 Months,"No, I do not plan to pursue further education.",Face-to-face,Abroad,Private Sector,Not sure yet,Nevada,60.0
166,20,Female,Mining Engineering,2,With family,At home,0-2.00,Less than 5 hours,3.0,0.0,5.0,3,ADHD,6-12 Months,"No, I do not plan to pursue further education.",Face-to-face,Open to both,Private Sector,Not sure yet,Canakkale,60.0
169,24,Male,Petroleum and Natural Gas Engineering,3,With family,In the library,2.01-2.50,Between 6-7 hours,2.0,20.0,6.0,1,Money,0-3 Months,"No, I do not plan to pursue further education.",Face-to-face,Abroad,Private Sector,Department's field sector,Sirnak,100.0
170,24,Male,Petroleum and Natural Gas Engineering,3,With family,Study room or Cafe in campus,2.01-2.50,Between 6-7 hours,0.0,20.0,1.0,8,None,0-3 Months,"No, I do not plan to pursue further education.",Face-to-face,Abroad,Private Sector,Department's field sector,Sirnak,90.0
171,22,Female,Mining Engineering,3,With family,At home,2.51-3.00,Between 6-7 hours,2.0,0.0,0.0,3,"finding recent resources and study materials, and finding mentors",3-6 Months,I am considering further education but haven’t decided yet.,Hybrid,Open to both,Not sure yet,Not sure yet,Ankara If In Turkiye,30.0
172,21,Female,Chemical Engineering,3,On-campus,In the library,2.01-2.50,Between 6-7 hours,5.0,0.0,0.0,8,physical and emotional breakdowns,3-6 Months,"Yes, I plan to pursue a Master's degree.",Face-to-face,Open to both,Private Sector,Department's field sector,"Izmir, Ankara, Eskisehir Or Maybe Istanbul",60.0
173,21,Male,Mining Engineering,2,KYK,In the library,0-2.00,Between 7-8 hours,25.0,4.0,0.0,8,S,6-12 Months,"No, I do not plan to pursue further education.",Face-to-face,Türkiye,Not sure yet,Not sure yet,Bursa,54.69
174,21,Male,Computer Engineering,3,On-campus,Study room or Cafe in campus,2.01-2.50,Between 7-8 hours,0.0,0.0,1.0,9,Stress,0-3 Months,I am considering further education but haven’t decided yet.,Hybrid,Open to both,Private Sector,Department's field sector,Ankara,75.0
175,23,Female,Mining Engineering,3,With family,In the library,2.01-2.50,Between 5-6 hours,0.0,0.0,2.0,1,I can’t field I will be happy with in my department. There are almost no academic project that students can work on with professors. Until 3rd year of department we can’t be involved departments habitat. We only have 5 professors. Understandably they can’t give time to each student who came for help. Which is the biggest obstacle on my development. ,3-6 Months,I am considering further education but haven’t decided yet.,Hybrid,Open to both,Not sure yet,Different sector,London,17.0
176,23,Male,Mining Engineering,2,On-campus,In the library,0-2.00,Between 6-7 hours,8.0,20.0,4.0,7,distraction,3-6 Months,"No, I do not plan to pursue further education.",Face-to-face,Abroad,Private Sector,Not sure yet,Canakkale,65.0
177,23,Female,Food Engineering,4,Student House,Study room or Cafe in campus,3.01-3.50,Between 8-9 hours,3.0,3.0,2.0,6,Economy,3-6 Months,"No, I do not plan to pursue further education.",Hybrid,Open to both,Private Sector,Department's field sector,Ankara,50.0
178,24,Female,Food Engineering,4,On-campus,Study room or Cafe in campus,2.51-3.00,Between 7-8 hours,1.0,4.0,1.0,4,Bölüm binası öğrenci ihtiyacını karşılayacak biçimde değil çok küçük ,0-3 Months,I am considering further education but haven’t decided yet.,Hybrid,Open to both,Private Sector,Not sure yet,Istanbul,50.0
179,23,Female,Food Engineering,4,On-campus,Study room or Cafe in campus,2.51-3.00,Between 7-8 hours,1.0,5.0,1.0,4,"No efficient laboratories, too much theoretical knowledge ",0-3 Months,"Yes, I plan to pursue a Master's degree.",Hybrid,Open to both,Not sure yet,Department's field sector,Ankara,60.0
180,22,Female,Food Engineering,4,With family,In the library,2.51-3.00,Between 5-6 hours,0.0,0.0,3.0,7,economical situations,3-6 Months,I am considering further education but haven’t decided yet.,Face-to-face,Open to both,Not sure yet,Department's field sector,Ankara,45.0
181,24,Female,Food Engineering,4,With family,Study room or Cafe in campus,2.51-3.00,Between 6-7 hours,2.0,5.0,2.0,5,None,3-6 Months,"Yes, I plan to pursue a Master's degree.",Hybrid,Open to both,Not sure yet,Department's field sector,Farketmez,45.0
182,22,Male,Food Engineering,3,Student House,At home,2.01-2.50,Between 6-7 hours,5.0,0.0,0.0,7,Lack of motivation,0-3 Months,I am considering further education but haven’t decided yet.,Hybrid,Open to both,Private Sector,Department's field sector,Istanbul,35.0
183,21,Female,Food Engineering,3,With family,In the library,3.51-4.00,Between 7-8 hours,2.0,2.0,2.0,6,"lack of motivation, fear of future ",6-12 Months,"Yes, I plan to pursue a Master's degree.",Hybrid,Open to both,Not sure yet,Not sure yet,Istanbul,50.0
184,21,Female,Food Engineering,2,With family,In the library,2.01-2.50,Between 6-7 hours,3.0,12.0,3.0,6,political environment,3-6 Months,"No, I do not plan to pursue further education.",Hybrid,Open to both,Private Sector,Department's field sector,Ankara,40.0
185,24,Female,Food Engineering,3,On-campus,Other,2.01-2.50,Between 6-7 hours,2.0,7.0,2.0,8,Dersler zor,0-3 Months,I am considering further education but haven’t decided yet.,Hybrid,Open to both,Private Sector,Department's field sector,Istanbul Or Europe,50.0
186,21,Female,Petroleum and Natural Gas Engineering,3,With family,Study room or Cafe in campus,0-2.00,Between 5-6 hours,4.0,13.0,3.0,7,"derslerin zor olması, kendime vakit ayiramamam.",3-6 Months,"No, I do not plan to pursue further education.",Face-to-face,Türkiye,Private Sector,Department's field sector,Ankara,50.0
187,23,Male,Petroleum and Natural Gas Engineering,3,Student House,At home,2.01-2.50,Between 5-6 hours,0.0,15.0,2.0,7,Professors who think they know everything best,0-3 Months,I am considering further education but haven’t decided yet.,Face-to-face,Open to both,Not sure yet,Department's field sector,Ankara,60.0
188,20,Female,Food Engineering,3,With family,At home,2.01-2.50,Between 6-7 hours,0.0,0.0,2.0,6,workload,0-3 Months,"Yes, I plan to pursue a Master's degree.",Hybrid,Türkiye,Private Sector,Department's field sector,"Izmir, Istanbul",50.0
189,21,Female,Chemical Engineering,1,On-campus,In the dorm ,0-2.00,Between 5-6 hours,0.0,5.0,0.0,3,my distractibility,3-6 Months,I am considering further education but haven’t decided yet.,Hybrid,Not sure yet,Private Sector,Different sector,Ankara,35.0
